name,key,Life expectancy at birth (years) 2015,Total fertility rate 2015,Deaths due to ischemic heart disease (cases per 100k population) 2010,Deaths due to cancer (cases per 100k population) 2010,Human resources in science and technology (percent) 2016,Population density (people per km^2) 2015,Unemployment rate (percent) 2016,Regional gross domestic product (PPS per inhabitant) 2015,Mean precipitation (mm) Apr-Sep,Mean precipitation (mm) Oct-Mar,Mean temperature (C) Apr-Sep,Mean temperature (C) Oct-Mar
Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,80.9,1.85,101.0,273.4,54.1,7408.0,16.7,59200.0,6.10622215271,6.16205596924,15.0055567424,5.86277770996
Prov. Antwerpen,BE21,82.0,1.73,86.1,266.4,47.9,652.0,6.1,40400.0,6.28787517548,6.35268052419,15.1209726334,5.91986083984
Prov. Limburg (BE),BE22,82.5,1.58,96.2,262.2,46.3,361.9,4.8,28600.0,6.2071665446,6.22586669922,14.889666748,5.49355545044
Prov. Oost-Vlaanderen,BE23,81.5,1.65,95.1,281.6,51.2,503.4,4.2,31500.0,6.16082191467,6.33013331095,14.8863334656,6.08288879395
Prov. Vlaams-Brabant,BE24,82.5,1.66,88.1,256.5,58.3,532.2,4.8,37200.0,6.30542742821,6.52209587717,15.0255833748,5.92791390728
Prov. West-Vlaanderen,BE25,82.0,1.65,96.7,260.9,45.8,378.3,3.7,33200.0,6.17091623942,6.33097203573,14.7963886261,6.20222218831
Prov. Brabant Wallon,BE31,81.7,1.71,86.7,263.6,61.8,363.0,7.9,37400.0,6.3306552887,6.56156679789,15.0136670431,5.84566637675
Prov. Hainaut,BE32,78.6,1.71,116.0,296.8,42.7,354.8,11.8,22100.0,6.59925895267,6.87852785322,14.601574156,5.60092608134
Prov. Liège,BE33,79.4,1.68,101.8,286.1,46.3,286.5,11.1,24700.0,6.75830123538,6.80462691897,14.4173017229,4.88746032261
Prov. Luxembourg (BE),BE34,80.1,1.79,97.3,284.6,46.1,63.5,7.8,21800.0,7.40938194593,8.15730571747,13.853055954,4.11986114581
Prov. Namur,BE35,79.3,1.66,98.2,275.8,47.9,134.2,9.7,23500.0,6.75445355309,6.93152798547,14.2738891178,4.85083331002
Северозападен (Severozapaden),BG31,73.5,1.71,201.3,211.6,30.2,42.5,10.6,8400.0,5.43876474044,4.07312408148,17.2132681304,3.02807192008
Северен централен (Severen tsentralen),BG32,74.1,1.42,188.0,229.4,31.9,57.0,9.3,9500.0,4.78998289353,3.43761955163,18.8072228065,3.97811965453
Североизточен (Severoiztochen),BG33,74.4,1.47,202.5,266.0,32.7,65.5,9.7,11200.0,4.69284516289,3.63224997975,18.2698020027,4.34023813974
Югоизточен (Yugoiztochen),BG34,74.3,1.84,203.7,218.8,29.5,54.8,7.9,11300.0,5.58262205124,4.62875286738,17.0986110687,4.01455557346
Югозападен (Yugozapaden),BG41,75.6,1.34,197.7,249.2,47.8,107.1,5.4,22000.0,5.88054525852,4.43069783847,14.3579167922,1.8216666157
Южен централен (Yuzhen tsentralen),BG42,74.8,1.63,283.7,246.5,28.8,66.0,7.1,9600.0,5.84682585398,4.76401485867,14.9930370331,2.47522227499
Praha,CZ01,80.3,1.47,246.3,309.5,58.5,2604.7,2.2,51400.0,5.60950024923,2.65788888931,14.9561106364,2.61777766546
Střední Čechy,CZ02,78.8,1.64,359.1,337.5,36.6,122.3,3.1,23300.0,6.18239254972,3.90221683399,13.81158074,1.67007213003
Jihozápad,CZ03,78.5,1.58,311.3,328.7,33.2,71.1,3.1,22300.0,6.8292308272,4.39362866418,13.2318715547,1.19415209482
Severozápad,CZ04,76.9,1.56,357.4,363.2,28.9,132.4,5.2,18800.0,7.05528688431,5.08683331807,13.3463426166,1.82412034273
Severovýchod,CZ05,79.1,1.6,348.4,309.8,34.5,123.0,4.0,20700.0,7.05333697001,5.06365191142,13.4288887872,1.41833332909
Jihovýchod,CZ06,79.5,1.59,343.6,296.9,39.5,122.8,3.7,23500.0,6.1756111145,3.71139261458,14.143481191,1.45825925006
Střední Morava,CZ07,78.6,1.55,363.6,289.3,33.6,133.8,3.9,21000.0,7.17717170715,4.0116817301,13.9922725793,1.43742428404
Moravskoslezsko,CZ08,77.5,1.5,425.3,323.2,34.2,228.9,6.9,20900.0,7.89551862081,4.20524685471,13.901234097,1.52746921115
Hovedstaden,DK01,80.6,1.63,,,58.5,695.1,6.6,47100.0,4.21966637505,3.8944445716,13.1201850043,3.25629605187
Sjælland,DK02,80.2,1.82,,,42.3,114.1,6.2,25200.0,4.62541257767,3.95651594798,13.395396278,3.2321427209
Syddanmark,DK03,81.1,1.79,,,41.2,98.6,6.3,33200.0,5.37989896716,5.34394963582,12.8026264075,3.17934339697
Midtjylland,DK04,81.3,1.77,,,45.7,99.0,5.5,32800.0,5.28655552864,5.11626850234,12.6402319802,2.93828703298
Nordjylland,DK05,80.6,1.77,,,40.7,74.1,6.2,30300.0,5.34506469303,5.09551843007,12.6187964545,2.89037047492
Stuttgart,DE11,81.9,1.53,142.0,230.6,48.9,382.6,3.3,46700.0,6.95324542787,5.98786099752,14.5030554665,3.27773151133
Karlsruhe,DE12,81.4,1.46,161.5,240.4,48.6,396.2,3.1,40200.0,6.86480854176,6.14854321656,15.2153081541,4.11000000989
Freiburg,DE13,81.9,1.51,122.0,235.2,45.3,236.0,3.0,34800.0,8.5542122812,7.47589377201,14.3879796808,3.34080811703
Tübingen,DE14,82.0,1.53,132.1,229.3,46.8,202.9,2.6,38700.0,8.28270015717,5.89263893763,14.2351108551,2.93094441096
Oberbayern,DE21,82.1,1.49,135.6,238.7,54.4,259.8,2.4,51400.0,9.8527159161,6.01558028327,13.5824689512,1.85132711243
Niederbayern,DE22,80.4,1.49,161.4,249.5,39.1,116.6,2.0,35200.0,7.51360247685,5.51310262925,13.9449570485,1.81431630636
Oberpfalz,DE23,80.5,1.46,169.9,261.9,40.3,112.2,2.8,37300.0,6.69201001254,5.42936868379,13.6726262642,1.78489899635
Oberfranken,DE24,80.1,1.41,209.4,252.7,41.3,146.3,3.3,33000.0,6.47345542908,5.66057777405,13.9060555776,2.38633328279
Mittelfranken,DE25,80.6,1.48,172.0,250.9,47.7,238.4,2.5,39100.0,6.21159878484,5.37807408086,14.5274070457,2.79660486292
Unterfranken,DE26,81.3,1.47,162.7,239.7,44.3,152.7,2.5,35900.0,6.24165741603,5.82339339786,14.5583797031,3.31087958813
Schwaben,DE27,81.6,1.54,153.6,240.7,42.1,183.5,2.7,35600.0,8.93803865482,5.88011100965,13.8709400862,2.24606831868
Berlin,DE30,80.5,1.46,162.1,263.9,57.3,3918.1,7.7,34400.0,5.04580577215,4.07938893636,14.6827774048,3.16000000636
Brandenburg,DE40,80.3,1.53,223.2,260.0,44.8,83.3,4.6,25600.0,5.21097156611,3.98856231667,14.7010891217,3.20939969923
Bremen,DE50,79.8,1.51,138.9,275.2,45.7,1591.1,5.4,45800.0,6.0028886795,5.78766663869,14.1002775828,4.19611120224
Hamburg,DE60,80.9,1.45,146.5,281.1,56.1,2351.1,4.0,59500.0,6.22980562846,6.05052757263,13.8869444529,3.73749987284
Darmstadt,DE71,81.3,1.51,153.3,249.3,50.5,522.9,4.0,47100.0,6.19963321686,5.92191654841,14.7698332469,3.83327773412
Gießen,DE72,80.6,1.42,181.3,253.8,46.7,192.3,4.0,30300.0,6.92289670308,7.47470646813,13.6465079898,3.09222221375
Kassel,DE73,80.4,1.52,165.2,253.5,43.9,145.7,3.7,33100.0,6.96767781576,7.23893340429,13.5296667735,3.09016658465
Mecklenburg-Vorpommern,DE80,79.9,1.54,219.3,279.4,42.2,69.2,6.3,24000.0,5.38945753434,4.47616012424,14.0919280707,3.27581688002
Braunschweig,DE91,80.2,1.48,198.5,261.7,45.6,196.2,4.6,37700.0,6.51204162174,6.46824071142,13.9981017643,3.39888890584
Hannover,DE92,80.3,1.48,173.8,260.6,45.8,234.3,4.7,33900.0,5.98526859283,5.7759165234,14.137684928,3.86995368534
Lüneburg,DE93,80.7,1.59,184.0,268.3,43.4,109.0,3.3,24400.0,5.95831588904,5.65645132462,14.0864580472,3.7305555741
Weser-Ems,DE94,80.4,1.55,180.1,263.6,38.3,165.6,3.6,31100.0,6.26233326305,6.17787875551,14.195757548,4.40747477792
Düsseldorf,DEA1,80.1,1.51,142.3,289.3,46.8,971.5,4.9,38400.0,6.48841094971,6.40580012004,15.1435001373,5.25500008265
Köln,DEA2,80.8,1.48,140.7,268.4,51.0,596.4,3.9,38000.0,6.81368502864,6.72293825503,14.9125929938,5.06388900898
Münster,DEA3,80.6,1.55,140.8,285.2,43.9,375.5,4.2,30200.0,6.29373226744,6.23608092106,14.6558083043,4.71949499304
Detmold,DEA4,81.1,1.6,135.0,261.5,42.0,313.2,4.0,34000.0,6.15877172682,6.28595055474,14.3245675829,4.1425307945
Arnsberg,DEA5,79.7,1.5,154.5,285.8,42.7,446.5,4.9,31500.0,7.22869138364,7.74141989814,14.335864173,4.35574065314
Koblenz,DEB1,80.6,1.54,171.1,271.7,42.1,183.7,3.4,30300.0,6.41094944694,6.43882826603,14.0496970668,3.76348470919
Trier,DEB2,80.8,1.46,164.0,263.1,43.4,107.1,2.7,27500.0,6.9564360664,7.04256330218,13.5,3.45301578158
Rheinhessen-Pfalz,DEB3,80.9,1.51,170.7,259.2,46.6,295.2,4.0,33700.0,5.66777765751,5.48837510745,14.904791673,3.85583321253
Saarland,DEC0,79.7,1.38,211.3,291.8,43.9,386.3,4.8,34100.0,6.13539801704,6.67547236549,14.7083337572,4.08398151398
Dresden,DED2,81.0,1.61,206.6,240.7,48.4,201.5,4.9,27000.0,5.83528324763,4.13860556285,15.1444999695,3.3884443601
Chemnitz,DED4,80.4,1.66,,,41.1,224.5,4.4,25000.0,6.57878557841,4.41700008937,14.1982541765,2.82142852602
Leipzig,DED5,80.5,1.51,,,48.0,254.2,6.0,29100.0,5.60426844491,3.9353055954,15.0395372179,3.41620371077
Sachsen-Anhalt,DEE0,79.2,1.54,244.7,289.2,40.4,109.5,7.4,24300.0,5.83966924205,5.11579795317,14.4528787786,3.23888891393
Schleswig-Holstein,DEF0,80.5,1.52,144.8,252.7,44.9,180.0,4.0,29100.0,6.12121357062,5.94326481452,13.4561535762,3.61499994229
Thüringen,DEG0,80.0,1.56,192.3,260.1,41.6,133.5,5.1,25400.0,6.83886281182,6.18435294955,13.5811110852,2.54071892944
Eesti,EE00,78.0,1.58,,,47.4,30.3,6.8,21600.0,6.34482089384,5.11575501053,12.4403497908,-1.48952680753
"Border, Midland and Western",IE01,81.6,2.12,197.7,284.5,43.9,38.2,9.1,,8.04320277338,10.5295652859,12.3335267219,6.44041053109
Southern and Eastern,IE02,81.5,1.87,194.0,302.3,52.4,94.2,7.5,,7.96715191735,10.4256667031,12.4614443885,6.59570373959
Aττική (Attiki),EL30,80.7,1.3,125.7,254.7,46.5,996.9,23.0,26800.0,1.64580551783,6.43652788798,22.1563873291,11.6755555471
Βόρειο Αιγαίο (Voreio Aigaio),EL41,81.8,1.44,82.0,232.8,32.6,51.2,18.3,15000.0,1.62698610624,8.8639998436,21.1648613612,10.7947217623
Νότιο Αιγαίο (Notio Aigaio),EL42,81.7,1.38,94.8,238.9,21.9,63.1,17.4,21900.0,1.64005549749,7.58455594381,22.8911107381,12.6261100769
Κρήτη (Kriti),EL43,81.7,1.47,91.4,245.2,31.0,75.7,22.6,16800.0,1.52032219569,9.8888554891,19.6338887533,11.1861111959
"Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)",EL51,80.5,1.4,,,28.7,42.7,22.8,13800.0,5.12944013644,5.88634187747,15.9851284516,3.38752134641
Κεντρική Μακεδονία (Kentriki Makedonia),EL52,81.0,1.31,,,36.2,98.5,24.5,15100.0,3.93658731097,6.06362308775,19.244682312,5.9394048055
Δυτική Μακεδονία (Dytiki Makedonia),EL53,81.5,1.32,,,28.7,29.1,31.3,18200.0,4.21686419734,7.06805578868,16.8237034833,4.36425923639
Ήπειρος (Ipeiros),EL54,82.9,1.28,,,33.5,36.9,24.3,13900.0,4.86117698207,12.2688234503,18.2680805091,6.94297966813
Θεσσαλία (Thessalia),EL61,81.7,1.35,,,30.6,52.1,25.5,14700.0,4.00561117515,8.33520938189,19.5820941436,7.1630341701
Ιόνια Νησιά (Ionia Nisia),EL62,80.8,1.45,,,24.4,89.6,16.0,18300.0,4.05074050691,14.7399635315,20.7420361837,10.9311112298
Δυτική Ελλάδα (Dytiki Ellada),EL63,80.9,1.33,,,27.5,59.2,29.8,14400.0,3.57215084348,11.2182539077,19.0957145691,8.14579373314
Στερεά Ελλάδα (Sterea Ellada),EL64,81.7,1.23,,,25.8,35.8,25.0,16700.0,2.905646512,8.0864090775,20.0015656442,8.70025241736
Πελοπόννησος (Peloponnisos),EL65,81.3,1.32,,,25.2,37.5,19.2,16000.0,2.55803968793,9.35273025149,19.7719844636,9.65952391852
Galicia,ES11,82.9,1.1,80.4,254.6,43.1,92.9,17.2,22900.0,7.08940407724,15.2994037975,15.8307578347,8.70267671527
Principado de Asturias,ES12,82.4,1.01,109.0,287.1,48.9,99.0,17.6,22800.0,7.31694437663,12.2814217885,14.3673334757,7.82388865153
Cantabria,ES13,82.9,1.15,63.7,257.8,46.9,110.9,14.9,23400.0,7.51920843124,10.7797781626,13.7986119588,7.84430535634
País Vasco,ES21,83.5,1.39,65.8,261.1,56.0,301.3,12.6,34400.0,6.83460198508,9.47867563036,16.0959258609,9.10268497467
Comunidad Foral de Navarra,ES22,84.1,1.44,62.2,238.0,51.0,61.6,12.5,32500.0,6.73648897807,8.62462193171,16.6858332316,8.42149969737
La Rioja,ES23,83.7,1.34,70.8,242.1,44.8,62.2,13.5,28200.0,4.55103969574,5.1041347867,14.8599997021,5.58936500549
Aragón,ES24,83.0,1.35,73.2,245.1,42.5,27.9,14.7,28500.0,5.09035126368,5.26640032319,17.0161602263,6.822352774
Comunidad de Madrid,ES30,84.5,1.37,72.4,229.0,53.8,804.0,15.7,35400.0,3.49539998372,5.12729450862,19.3966112773,8.31483325958
Castilla y León,ES41,83.9,1.18,73.5,251.0,40.4,26.3,15.8,24300.0,4.53023069996,7.00481446045,16.0159511351,6.5683521066
Castilla-La Mancha,ES42,83.1,1.33,77.5,230.0,33.3,26.0,23.5,20100.0,3.4494239136,5.0860576041,19.1650720761,7.94022631645
Extremadura,ES43,82.3,1.28,95.0,261.0,31.6,26.7,27.5,17800.0,3.20287220743,8.03418711556,20.4915184021,10.3934627533
Cataluña,ES51,83.4,1.4,71.7,245.4,45.1,231.9,15.7,30900.0,5.62468884786,5.26733337402,16.7316662979,7.18522209803
Comunidad Valenciana,ES52,82.5,1.32,108.0,246.8,39.6,213.3,20.6,23000.0,3.69327781075,4.36501167532,18.5583917718,8.85125730749
Illes Balears,ES53,82.7,1.24,89.4,248.8,34.2,226.8,13.9,27000.0,2.96266682943,6.06766700745,17.335000356,9.06000010173
Andalucía,ES61,81.6,1.4,108.4,246.3,34.6,96.9,28.9,19200.0,2.43026922605,6.05572975599,21.1775103349,11.3930662962
Región de Murcia,ES62,82.5,1.57,92.2,243.9,34.4,129.7,19.8,21000.0,3.03992226919,3.71692215602,19.6281111399,9.57100016276
Ciudad Autónoma de Ceuta,ES63,81.2,1.85,95.3,243.2,36.0,4456.7,24.9,21100.0,,,,
Ciudad Autónoma de Melilla,ES64,80.1,2.53,90.8,184.8,32.4,6513.3,30.8,19100.0,,,,
Canarias,ES70,82.3,1.05,107.2,253.5,35.3,286.4,26.1,21500.0,0.667611122131,4.49122238159,16.3183339437,12.3433316549
Île de France,FR10,84.0,2.01,51.7,250.1,60.4,1008.6,9.2,50900.0,5.31019915475,5.54595836004,15.4843518999,6.0552778244
Champagne-Ardenne,FR21,81.4,1.88,66.1,283.5,37.7,52.3,11.2,25800.0,6.2517755127,6.7030246226,14.8983336385,5.00006669362
Picardie,FR22,80.7,2.01,69.7,296.6,38.3,99.7,11.5,22900.0,5.66688891252,6.07177082698,14.6514584223,5.83729169766
Haute-Normandie,FR23,81.2,1.97,70.5,290.9,43.1,151.2,11.5,26400.0,5.74433317639,6.70924613589,14.461428506,6.20198395139
Centre,FR24,82.4,1.93,62.8,271.7,44.8,66.0,9.9,25200.0,5.34521857641,5.69203936669,15.8850358943,6.47413979807
Basse-Normandie,FR25,82.1,1.88,72.9,266.4,39.7,84.1,8.6,24400.0,5.56995538076,7.02964998881,14.578777949,6.63516667684
Bourgogne,FR26,82.0,1.88,64.6,267.4,42.9,52.0,9.5,25800.0,6.40128427897,6.30452568103,15.6732055958,5.46155976026
Nord - Pas-de-Calais,FR30,80.3,2.0,74.6,316.0,44.3,329.6,13.3,24900.0,5.91813127922,6.39330291748,14.4983333241,6.14035366521
Lorraine,FR41,81.6,1.75,66.2,280.0,43.9,99.2,11.8,23300.0,6.7023216716,7.39511720758,14.8422810069,4.45087718964
Alsace,FR42,82.4,1.79,73.5,259.6,48.4,227.4,10.9,28400.0,7.54792232513,7.65133336385,14.6636110942,3.76072230339
Franche-Comté,FR43,82.3,1.92,66.0,251.6,46.0,72.8,8.2,23600.0,8.74935574002,8.86934810215,14.6586297777,4.07885172102
Pays de la Loire,FR51,82.8,1.96,57.5,261.5,46.3,116.3,8.8,27400.0,5.19854000092,7.07419766744,15.5178221639,7.16080001831
Bretagne,FR52,82.0,1.86,70.6,265.7,46.3,121.4,8.6,25900.0,5.22076513828,7.85412392249,14.7874786181,7.74320514386
Poitou-Charentes,FR53,82.6,1.79,55.3,262.1,40.9,70.0,9.0,25200.0,5.45159555365,7.05608021771,16.4668211054,7.47487647445
Aquitaine,FR61,82.9,1.73,59.9,251.8,45.7,82.0,10.1,26600.0,6.93726885478,8.43715555827,17.2585330709,8.32326665243
Midi-Pyrénées,FR62,83.4,1.77,57.5,234.8,52.4,66.5,8.5,27400.0,7.24523528417,7.60045917361,15.7694933181,6.38633993093
Limousin,FR63,81.8,1.77,65.7,262.3,46.5,43.5,7.1,23100.0,7.42704234404,8.04843113469,15.8656533933,6.46666670781
Rhône-Alpes,FR71,83.6,1.97,55.3,249.4,52.8,149.8,8.0,30500.0,8.07903013684,7.43359048934,14.7140478407,4.01844446318
Auvergne,FR72,82.1,1.8,68.5,265.4,44.6,52.5,7.2,25000.0,7.52357869678,6.77167591784,14.7899071905,4.98331024249
Languedoc-Roussillon,FR81,82.5,1.88,60.7,257.0,46.5,101.9,12.0,22800.0,6.41192667643,7.28921779633,15.8923773702,6.2161778005
Provence-Alpes-Côte d'Azur,FR82,82.8,2.03,52.3,240.5,49.6,159.7,10.6,28500.0,6.26682437897,7.19936222076,15.2703555552,4.74848891735
Corse,FR83,83.2,1.42,66.5,256.8,50.7,37.9,8.6,24500.0,5.05824995041,12.4827086131,18.2620836894,9.72513882319
Guadeloupe,FRA1,,2.2,,,34.5,324.5,23.8,19800.0,13.4385007222,10.2231661479,24.5638885498,22.7111104329
Martinique,FRA2,82.7,1.98,,,39.1,335.7,17.6,22400.0,,,,
Guyane,FRA3,,3.54,,,32.6,3.1,23.2,15300.0,23.8392670777,19.331937051,25.9169219421,25.8707059568
La Réunion,FRA4,80.9,2.46,,,34.6,339.1,22.4,20400.0,18.4373893738,32.5413309733,14.9011103312,18.0355555216
Mayotte,FRA5,76.5,5.03,,,27.6,617.7,27.1,9100.0,,,,
Jadranska Hrvatska,HR03,78.6,1.4,,,34.2,56.6,14.2,16000.0,9.14330000877,11.9580055237,16.9235279083,5.16533332666
Kontinentalna Hrvatska,HR04,76.9,1.4,,,35.3,88.1,12.6,17100.0,8.34652964274,6.84468521542,17.1149258931,3.90451860428
Piemonte,ITC1,82.5,1.36,96.4,272.8,34.4,173.9,9.3,29600.0,9.26642980437,7.40788875801,13.1008938499,1.46565217557
Valle d'Aosta/Vallée d'Aoste,ITC2,81.6,1.4,94.2,263.2,30.3,39.2,8.7,35100.0,9.4954908159,8.33870357937,8.97925959693,-2.04500002331
Liguria,ITC3,82.7,1.3,101.5,267.1,36.3,291.2,9.7,31000.0,6.6962528582,7.6229628457,16.5619138082,4.54475310997
Lombardia,ITC4,83.2,1.44,111.9,289.4,38.7,419.3,7.4,36600.0,9.98816662365,7.30278228389,14.8288891315,2.70518509795
